Match_index,Team 1,Team 1 Confederation,Team 2,Team 2 Confederation,Matchup_ID,Winner (or draw),Winner Confederation,Win not draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Cards,Team 2 Cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Total Fouls,Winning Team Fouled More,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More and Wins or Draws,Team that fouled more,fouls equal,Team that fouled more won,Team 1 Ranking (WC Teams),Team 2 Ranking (WC Teams),Higher Ranked Team Won,Higher Ranked Team Won or Drew,Large Ranking Gap,"High SPI win, large gap",Upset,Ranking Difference,Goal Differential for Favorite by Ranking,Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap",Upset SPI,SPI Difference,Goal Differential for Favorite,Goal Differential / SPI Gap,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls
38,Greece,UEFA,Ivory Coast,CAF,2,Greece,UEFA,1,2,1,1,1,3,,,3,13,23,36,0,0,0,0,1,1,0,Ivory Coast,0,0,12,22,1,1,0,0,0,10,1,76.78,78.9,0,0,0,0,0,2.12,-1,-0.472,FALSE,23,FALSE,FALSE,13
39,Italy,UEFA,Uruguay,CONMEBOL,4,Uruguay,CONMEBOL,1,0,1,-1,1,1,,,6,19,20,39,1,1,0,0,1,0,0,Uruguay,0,1,9,7,1,1,0,0,0,2,1,79.49,83.35,1,1,0,0,0,3.86,1,0.259,FALSE,FALSE,FALSE,20,19
40,Costa Rica,CONCACAF,England,UEFA,3,draw,,0,0,0,0,0,0,,,3,17,17,34,0,1,1,0,0,1,0,FALSE,1,0,24,10,0,1,1,0,0,14,0,74.07,83.22,0,1,1,0,0,9.15,0,0,FALSE,FALSE,17,FALSE,17
41,Honduras,CONCACAF,Switzerland,UEFA,3,Switzerland,UEFA,1,0,3,-3,3,3,,,1,17,18,35,1,1,0,0,1,0,0,Switzerland,0,0,25,6,1,1,1,1,0,19,3,69.62,78.05,1,1,1,1,0,8.43,3,0.356,FALSE,FALSE,17,FALSE,18
42,Ecuador,CONMEBOL,France,UEFA,4,draw,,0,0,0,0,0,0,,,2,17,6,23,0,0,0,1,0,0,1,Ecuador,0,1,23,16,0,1,0,0,0,7,0,80.65,86.12,0,1,0,0,0,5.47,0,0,FALSE,FALSE,FALSE,17,6
43,Nigeria,CAF,Argentina,CONMEBOL,9,Argentina,CONMEBOL,1,2,3,-1,1,5,,,2,17,6,23,0,0,0,0,0,0,0,Nigeria,0,0,28,5,1,1,1,1,0,23,1,75.23,90,1,1,1,1,0,14.77,1,0.068,FALSE,17,FALSE,6,FALSE
44,Bosnia and Herzegovina,UEFA,Iran,AFC,6,Bosnia and Herzegovina,UEFA,1,3,1,2,2,4,,,2,20,17,37,1,1,0,0,1,0,0,Bosnia and Herzegovina,0,0,20,27,1,1,0,0,0,7,2,80.31,70.63,1,1,1,1,0,9.68,2,0.207,17,FALSE,FALSE,FALSE,20
45,USA,CONCACAF,Germany,UEFA,3,Germany,UEFA,1,0,1,-1,1,1,,,3,15,9,24,0,0,0,0,0,0,0,USA,0,0,13,2,1,1,1,1,0,11,1,77.42,88.87,1,1,1,1,0,11.45,1,0.087,FALSE,FALSE,15,FALSE,9
46,Portugal,UEFA,Ghana,CAF,2,Portugal,UEFA,1,2,1,1,1,3,,,4,21,16,37,1,1,0,0,1,0,0,Portugal,0,0,4,26,1,1,1,1,0,22,1,81.02,77.23,1,1,0,0,0,3.79,1,0.264,FALSE,16,FALSE,FALSE,21
47,South Korea,AFC,Belgium,UEFA,6,Belgium,UEFA,1,0,1,-1,1,1,,,3,16,11,27,0,0,0,0,0,0,0,South Korea,0,1,31,11,1,1,1,1,0,20,1,72.38,81.97,1,1,1,1,0,9.59,1,0.104,16,FALSE,FALSE,FALSE,11
